CGPA,Completed_Course_Count,Interest_Area,Recommended_Course
3.7760000000000002,1,5,Math101
3.6168,2,0,Physics101
3.0412,1,3,History102
3.4484,1,2,Chem101
2.7327999999999997,4,3,Physics101
2.0736000000000003,2,4,Math101
3.8087999999999997,3,0,Math101
2.2556,2,3,History101
3.8960000000000004,3,0,Cs101
3.1436,4,3,Math101
2.6112,1,0,Cs102
2.9912,4,3,Cs102
3.0032,4,4,Physics102
2.0463999999999998,2,0,History101
2.7108,4,0,History101
3.4795999999999996,1,4,Bio102
3.02,2,5,Chem101
2.4884,2,5,Bio102
2.6704000000000003,3,4,Math101
3.7260000000000004,2,2,Cs101
3.0512,3,0,Chem102
3.0568,2,3,Physics101
3.9227999999999996,2,3,History101
2.6416000000000004,1,0,Physics102
2.9592,4,0,Physics102
3.6236,2,0,Bio102
3.5180000000000002,3,3,Math101
2.5316,2,4,Math101
2.302,1,2,Chem102
3.4016,2,5,Math102
2.5152,4,2,Math102
3.8451999999999997,4,0,Math101
2.2584,1,0,History102
2.6368,2,3,Cs102
2.1096,3,4,Cs102
3.4068,1,0,Chem102
3.7824,4,0,Chem102
3.2716000000000003,2,0,Chem101
3.8756,3,0,Cs101
2.2572,3,0,Physics102
2.1756,2,5,Bio101
